WindowTag,D_eff_mean,chi_N_mean,F_W_mean,ShearMagMean_mean,InertialMagDt_mean,HeatFluxTruth_mean,MomUFluxTruth_mean,MomVFluxTruth_mean,n_samples
OTHER,3.669865932024765,0.029917709757729186,0.28699576841002683,0.07965255235735845,2.7711014388673827,0.028850745696734684,-0.049809895811904425,-0.0010514875897790648,132
HOUR8,3.6676376285108354,0.029796531496367077,0.31366781835213964,0.07082130858073392,2.2952874060187383,-0.008238645227114224,-0.022966091373139836,-0.0018388147142710902,6
HOUR9,3.672588384280686,0.029776684532460348,0.3239850144237815,0.08503778846146481,0.8470353551229178,-0.008543516218045019,-0.01643910200315683,-0.0015705708426973313,6
