WindowTag,wrmse,wmae,wr2,wbias,n_samples
OTHER,0.01652625571635729,0.009477222023519067,0.10067389214420397,0.0006413969170213853,132
HOUR8,0.0016067938384029309,0.0013113203639183548,-2.1682266936758023,-0.00018961355068305595,6
HOUR9,0.001647430764923798,0.0014817250806372793,-13.178951553679362,-0.00045178338300979866,6
