sample,energy_top_with_sponge,energy_top_without_sponge
1,0.012375396783232202,0.01232501217691041
2,0.012724994636695852,0.015177749016460945
3,0.01240921863043429,0.02079481677009226
4,0.011995575456472273,0.028027883745105522
5,0.011188974735087459,0.036625392527523296
6,0.010515875801228347,0.04520292044573809
7,0.009542783901158557,0.059805617069972915
8,0.008372735490784895,0.07374245445203065
9,0.007308572808728374,0.08895966289383746
10,0.006354081004029819,0.10644174413581194
11,0.005438789393214866,0.12548950170852916
12,0.00451211039430173,0.14661109793145563
13,0.003598831209299297,0.1678613024869968
14,0.0027980345135422036,0.18912987818434718
15,0.0021321031137538503,0.21626855230734263
16,0.001584632091186383,0.24318737497889914
17,0.0011622070418487967,0.271975614911734
18,0.0009050593552744313,0.30313076334697947
19,0.0008299824943394273,0.33672140977587567
20,0.0009055433404194877,0.3724282341134933
21,0.0010950169950887413,0.4117365322531063
22,0.0013832166163503835,0.4495607772688221
23,0.0017673273738476642,0.48919529833767794
24,0.0022422535555996393,0.5366107964364268
25,0.0028036191462252717,0.5838125041521842
26,0.0034491697684796013,0.6295722638867459
27,0.004164223715394991,0.687921569700288
28,0.0049137058742853325,0.7350192205332715
29,0.005654947801044382,0.7931841558530164
30,0.006356333680942448,0.8537937452186523
31,0.007002475296827976,0.9131288172185313
32,0.007587794527399259,0.9726977888947567
33,0.0081097343050988,1.043931149193366
34,0.00856444842495164,1.1116013799229685
35,0.008944192868968822,1.187491841652746
36,0.009237904547625943,1.2594363340520802
37,0.00943520690602379,1.3364300361498047
38,0.009530182633825568,1.415994720759339
39,0.009521504650033307,1.5034248797120784
40,0.009409797988935254,1.5873868752861258
41,0.009195398561838961,1.68236537751415
42,0.00887833072976254,1.7744518546891417
43,0.008460217394595784,1.8779341953182023
44,0.007946785609245532,1.9764878035369926
45,0.007349508645222858,2.0819872187810753
46,0.0066854936275713974,2.191771955415946
47,0.005975806892512014,2.304004701624254
48,0.005243245679558164,2.427832736385123
49,0.004510492999164529,2.5529017120678055
50,0.0037989725224580623,2.679486934465078
51,0.0031282223812027646,2.809584533490027
52,0.002515490025607752,2.9463658004509305
53,0.001975393270088882,3.0925274966713507
54,0.0015196603497859835,3.236900973838179
55,0.0011569910005883063,3.3895499658894535
56,0.000892991146830945,3.5539518323043096
57,0.0007300739357464309,3.7173938374762683
58,0.0006672784096366662,3.882169455836137
59,0.0007000802668515275,4.057583601009872
60,0.0008203515401612535,4.232230379092004
61,0.0010166097997161227,4.416977400601762
62,0.0012745937173491585,4.613737902950397
63,0.0015780764969445873,4.8036415669205885
64,0.001909764598035013,4.997288700561817
65,0.0022521603873963385,5.201161647939441
66,0.0025883461960154296,5.3962342611289
67,0.002902694732229186,5.61269451979734
68,0.0031814962435858653,5.818672277119875
69,0.003413452571290642,6.030886924909642
70,0.0035899764429452455,6.240829947136675
71,0.0037052710035911413,6.466559866897793
72,0.0037562262945050992,6.676554564596788
73,0.0037422152325501824,6.896387176850025
74,0.0036648746678551915,7.118832615716763
75,0.0035279198900331605,7.342946688992916
76,0.003336989535461802,7.563927486591211
77,0.003099481934980669,7.79032959633931
78,0.0028243385012823342,8.009130853917398
79,0.0025217494575309083,8.24101688713613
80,0.002202784818372586,8.46139708980088
81,0.0018789736758325704,8.687628432159238
82,0.001561862499721939,8.907782558344266
83,0.0012625824106231827,9.125232621084175
84,0.0009914521733346369,9.343998610444288
85,0.0007576400224699827,9.570165149321094
86,0.0005689014034361895,9.78284727776735
87,0.00043139938860056975,9.991121838334292
88,0.0003496015084492259,10.208066125539753
89,0.0003262357717574077,10.410202071840484
90,0.00036228433165637667,10.624518368233751
91,0.00045699692786407744,10.824455179943355
92,0.0006079154285591913,11.020598514625226
93,0.000810911108619119,11.230614052801743
94,0.0010602439858061784,11.428348676366419
95,0.0013486570162713376,11.62296096900296
96,0.0016675176348276365,11.823703637965833
97,0.002007016144116763,12.017607740566126
98,0.0023564255540434453,12.208944815271197
99,0.00270442090330805,12.405247406806975
100,0.0030394483641778547,12.59976571721641
