WindowTag,wrmse,wmae,wr2,wbias,n_samples
OTHER,0.021925221407001944,0.017068228482645848,0.7575461787215715,0.00030791671917977794,131
HOUR8,0.005884510373670713,0.00470661934396913,-13.61996397893873,-0.0020927723481569582,6
HOUR9,0.0037681865117125592,0.0035267720992090933,-141.96386114982758,0.0017871885813500203,6
