WindowTag,wrmse,wmae,wr2,wbias,n_samples
OTHER,0.0157773718197075,0.009978560477083898,0.1514728963636246,-1.3714136643523593e-11,131
HOUR8,0.0003474852171040603,0.0002524366680753635,0.8518271616681512,-1.8388146799490357e-11,6
HOUR9,0.0003706985630325379,0.00031907303307131756,0.28208739311929654,-1.5705708326756163e-11,6
